"","Community","Gene.Symbol"
"Pgam5",6,"Pgam5"
"Pam16",15,"Pam16"
"Higd1a",6,"Higd1a"
"D10Jhu81e",2,"D10Jhu81e"
"Nnt",15,"Nnt"
"Mecr",2,"Mecr"
"Lonp1",1,"Lonp1"
"Ubox5",15,"Ubox5"
"Fastkd5",15,"Fastkd5"
"Irgm1",12,"Irgm1"
"Chchd3",2,"Chchd3"
"Uba52",9,"Uba52"
"Gm7808",9,"Gm7808"
"Kxd1",9,"Kxd1"
"Ubc",9,"Ubc"
"Ubb",9,"Ubb"
"Rps27a",9,"Rps27a"
"Col6a3",7,"Col6a3"
"Dlat",21,"Dlat"
"Mrpl48",3,"Mrpl48"
"Slc25a5",25,"Slc25a5"
"Gm10108",6,"Gm10108"
"Cycs",6,"Cycs"
"Slc25a40",7,"Slc25a40"
"Ears2",13,"Ears2"
"Plec",6,"Plec"
"Rdh13",1,"Rdh13"
"Slc25a4",25,"Slc25a4"
"Idh2",10,"Idh2"
"Ndufa2",15,"Ndufa2"
"Nt5dc3",8,"Nt5dc3"
"Gpc1",1,"Gpc1"
"Acaa1a",1,"Acaa1a"
"Acaa1b",1,"Acaa1b"
"4930544G11Rik",1,"4930544G11Rik"
"Rhoa",1,"Rhoa"
"Serpinh1",1,"Serpinh1"
"Mtch1",4,"Mtch1"
"Cars2.1",8,"Cars2.1"
"Akr7a2",2,"Akr7a2"
"Cisd1",15,"Cisd1"
"Srl",1,"Srl"
"Uqcrc2",15,"Uqcrc2"
"Lyrm4",10,"Lyrm4"
"Pptc7",2,"Pptc7"
"Clpx",3,"Clpx"
"Mrps36.1",4,"Mrps36.1"
"Lap3",8,"Lap3"
"Timm17a",5,"Timm17a"
"Trim72",1,"Trim72"
"Pdha1",15,"Pdha1"
"Ndufa5",15,"Ndufa5"
"Itgb1",1,"Itgb1"
"Mrpl11",11,"Mrpl11"
"C1qbp",2,"C1qbp"
"Oxnad1",12,"Oxnad1"
"Mccc2",3,"Mccc2"
"Coq9",1,"Coq9"
"Ndufaf5",9,"Ndufaf5"
"Mrc1",7,"Mrc1"
"Ndufb2",15,"Ndufb2"
"Bcat2",10,"Bcat2"
"Cdh7",2,"Cdh7"
"Sqrdl",2,"Sqrdl"
"Ndufc2",15,"Ndufc2"
"Fcho2",7,"Fcho2"
"Qdpr",3,"Qdpr"
"Scp2",1,"Scp2"
"Hspa9",3,"Hspa9"
"Decr1",2,"Decr1"
"mt-Nd4l",2,"mt-Nd4l"
"Mtnd4l",2,"Mtnd4l"
"Hspd1.1",3,"Hspd1.1"
"Acot9",4,"Acot9"
"Acot10",4,"Acot10"
"Ndufa13",2,"Ndufa13"
"Atp1a1",1,"Atp1a1"
"Aldh4a1",3,"Aldh4a1"
"Fahd1",10,"Fahd1"
"Ogdh.1",11,"Ogdh.1"
"Ak4",12,"Ak4"
"Acad11",1,"Acad11"
"Mars2",3,"Mars2"
"Coq5",10,"Coq5"
"Casq2",1,"Casq2"
"Nadk2",7,"Nadk2"
"Gk",22,"Gk"
"Gyk",22,"Gyk"
"Cyc1",10,"Cyc1"
"Bcs1l",15,"Bcs1l"
"Bak1",15,"Bak1"
"Hk2",2,"Hk2"
"Mrpl47",15,"Mrpl47"
"Slc25a3.1",5,"Slc25a3.1"
"Glod4",15,"Glod4"
"Dld",13,"Dld"
"Txnrd2",8,"Txnrd2"
"Uba1",23,"Uba1"
"Hsdl2",3,"Hsdl2"
"Qil1",15,"Qil1"
"Ccsmst1",21,"Ccsmst1"
"Oxa1l",19,"Oxa1l"
"Acadl",13,"Acadl"
"Suclg2",15,"Suclg2"
"Popdc2",1,"Popdc2"
"Prdx3",15,"Prdx3"
"Slc25a51",12,"Slc25a51"
"Smim20",4,"Smim20"
"Pmpca",13,"Pmpca"
"Gadd45gip1",4,"Gadd45gip1"
"Slc25a13",10,"Slc25a13"
"Lyrm7",15,"Lyrm7"
"Gm9755",13,"Gm9755"
"Tufm",13,"Tufm"
"Slc25a10",12,"Slc25a10"
"38412",4,"38412"
