Gene.Symbol,minuslog_pval,qval,log2FC
Cd47,1.05583939,0.00000000,-0.93182039
Ndufs8,2.80014259,0.00000000,-0.93074975
Lrrc45,1.50695235,0.00531910,-0.93019320
Ndufaf1,3.76334377,0.00000000,-0.91240960
Ostc,2.38826880,0.00203940,-0.90559069
Mfn1,2.63843908,0.00000000,-0.90266014
Pdss1,2.57304628,0.00000000,-0.89567278
Mrpl51,3.48452672,0.00000000,-0.89391469
Synj2bp,1.95813001,0.00000000,-0.89128492
Uqcc2,3.31836632,0.00000000,-0.88166550
Atp4a,0.84547023,0.00000000,-0.88096516
Kdelr1,1.19190806,0.00000000,-0.87896920
Slc25a32,2.14038406,0.00000000,-0.87637932
Timm17a,1.77555163,0.00000000,-0.87027433
Mrps24,2.63088140,0.00000000,-0.86355308
Cbr1,2.44987290,0.00000000,-0.86194383
Malsu1,2.21125831,0.00000000,-0.83913285
Gstm1,2.99821102,0.00000000,-0.83617672
Tmem205,0.64442576,0.00000000,-0.83611450
Hist1h4a,0.83990335,0.00000000,-0.82617413
Atp5j2,2.53914249,0.00000000,-0.82323834
Slc25a24,0.76894853,0.00000000,-0.82275286
Mrpl42,1.54230493,0.00000000,-0.82184577
Slc25a17,1.78510216,0.00000000,-0.82063302
Pycr2,1.89216942,0.00000000,-0.81980944
Ak2,2.12563840,0.00000000,-0.81905910
Hsd3b2,1.03660483,0.00000000,-0.81294796
Atp5l,2.32746071,0.00000000,-0.81141927
Rexo2,1.76940692,0.00000000,-0.80986567
Rps11,1.08958391,0.00595240,-0.80661792
H3f3a;H3f3c;Hist1h3a,0.88108616,0.00000000,-0.80659285
Far1,1.88573283,0.00000000,-0.80577389
Qil1,3.99367708,0.00000000,-0.80546914
Dnajc28,3.17452568,0.00000000,-0.80397271
Tmem160,1.87376968,0.00000000,-0.80101987
S100g,1.31030382,0.00000000,-0.79993898
Slc4a4,3.19946904,0.00000000,-0.79530677
Acsf2,0.70964907,0.00000000,-0.77863858
Rpl10a,1.04800127,0.00000000,-0.77273340
Rab7a,4.19245763,0.00000000,-0.77189652
Mdp1,3.44356115,0.00000000,-0.76959193
Serpina3m,0.47856755,0.00000000,-0.76779203
Cyb5r1,1.99652942,0.00000000,-0.76476933
Ppox,2.15214571,0.00000000,-0.76449497
G6pc,0.84394946,0.00000000,-0.76279477
Man2b1,0.96007257,0.00000000,-0.76190721
Ccdc51,2.00402248,0.00000000,-0.76061494
Hnrnpk;Gm7964,0.87948166,0.00000000,-0.75967386
Ndufab1,1.35465014,0.00000000,-0.75798217
Mcee,3.19082662,0.00000000,-0.75564122
Slc26a9,0.72947368,1.00000000,-0.75109658
Mcl1,0.75985654,0.00000000,-0.74806866
Hkdc1,1.38689142,0.00000000,-0.74754171
Fahd1,3.19518872,0.00000000,-0.74680954
Iah1,1.54924629,0.00000000,-0.74659306
Mrpl44,2.13225645,0.00000000,-0.73667165
Comtd1,1.79309957,0.00000000,-0.73254500
Tomm7,0.69841714,0.00000000,-0.72767080
Atp5c1,0.66877121,1.00000000,-0.72364243
Lrpprc,1.50675363,0.00000000,-0.72343945
Hoga1,3.43921605,0.00000000,-0.71936386
Dhodh,2.93511869,0.00000000,-0.71830077
Hsd17b11,1.22171198,0.00000000,-0.71284480
Pars2,1.65264960,0.00000000,-0.70897896
Fhit,2.49552890,0.00000000,-0.70614534
Abhd3,1.42265969,0.00000000,-0.70230833
Ndufs5,1.51809110,0.00000000,-0.69862619
Enpep,2.24242966,0.00000000,-0.69565642
Pcbd1,2.23747344,0.00000000,-0.68569365
Apaf1,0.71249057,1.00000000,-0.67830276
Dhx30,1.51392703,0.00000000,-0.67719097
Gcsh,0.72144932,0.00000000,-0.67366572
Dpep1,0.38638424,0.00000000,-0.67215785
Rpl30,0.81486641,0.00849670,-0.66402045
Ndufs2,2.08656637,0.00000000,-0.66394252
Tmem256,4.02570699,0.00000000,-0.66177655
Pgls,3.13139834,0.00000000,-0.65950157
Maoa,1.01166112,0.00000000,-0.65817982
Gsta3,1.69598175,0.00000000,-0.65738426
Actn1,0.41269199,0.00000000,-0.65110290
Rhot2,2.27474348,0.00000000,-0.63978118
Sod2,2.94918103,0.00000000,-0.63895899
Sec61a1,0.61201741,0.00269720,-0.63865651
Acyp2,1.67179949,0.00000000,-0.63818979
Mpdu1,0.40314914,0.00597210,-0.63769168
Ears2,2.76835175,0.00000000,-0.63535515
Atp1a1,2.52609055,0.00000000,-0.63124753
Mrpl4,1.79976261,0.00000000,-0.62694527
Dnaja3,3.29110493,0.00000000,-0.62472794
Cdh2,0.44952440,0.00594840,-0.62465225
Mff,2.73476459,0.00000000,-0.62453116
Mterf2,0.89228218,0.00000000,-0.62406798
Slc3a2,3.73759373,0.00000000,-0.61673654
Surf4,1.41570671,0.00000000,-0.61594419
Ccdc58,2.19861565,0.00000000,-0.60878358
Ptcd1,0.85521703,0.00000000,-0.60746317
Lamp2,1.63529835,0.00000000,-0.60734137
