Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Pdp1,0.00000000,7119300,5707600,3506900,2701500,5557300,5866000,6236000,9221500,0.70813741,-0.49789877,0.18879759,2.40508778
Mrpl14,0.00000000,7658300,4929100,4122000,3777300,5564900,16314000,7420400,7548000,0.55598918,-0.84687130,0.19014125,2.39485657
Adipoq,0.00153850,273940,0,0,179450,0,0,0,0,10.00000000,10.00000000,0.19521975,2.35682911
Nars2,0.00171820,0,0,721310,460860,0,0,0,0,10.00000000,10.00000000,0.19677177,2.34540483
Chchd6,0.00296300,510570,749610,740520,777550,558000,0,605830,618560,1.55872172,0.64036338,0.19780750,2.33783100
Cars2,0.00298950,223910,192540,183550,284700,179190,0,162630,218730,1.57827134,0.65834526,0.19852937,2.33257568
Dhrs1,0.00000000,974110,1500900,1160900,1557800,589450,678130,1492200,984780,1.38700141,0.47196925,0.19878566,2.33071438
Hspd1,0.00295860,559840,1414500,724620,1500300,1285000,0,386720,440170,1.98838955,0.99160042,0.19888359,2.33000383
Mipep,0.00000000,11562000,10844000,15241000,14315000,13233000,8644000,9460800,11971000,1.19980235,0.26279676,0.20075901,2.31646339
Samm50,0.00000000,68510000,78036000,111330000,123960000,93600000,70154000,69260000,59067000,1.30729489,0.38658462,0.20121650,2.31317952
Stoml2,0.00181490,2181900,2227800,847650,2553700,1921200,4008300,2122300,3394800,0.68239040,-0.55133074,0.20200470,2.30753924
Atp5g2;Atp5g1;Atp5g3,0.00000000,7016300,3964800,10582000,14296000,8347100,3482300,5256500,3882000,1.71019034,0.77415690,0.20318987,2.29909960
Idh3g,0.00000000,118490000,135500000,186210000,145430000,169860000,238250000,154490000,161880000,0.80834530,-0.30695640,0.20327696,2.29848142
Prdx5,0.00000000,1261000000,1067300000,831050000,781490000,941780000,1956900000,1382100000,1117000000,0.73008533,-0.45386300,0.20938394,2.25577731
Atpaf1,0.00177940,2714600,3044000,3443100,2523300,3634500,533040,1717900,1752900,1.53501939,0.61825688,0.21102681,2.24450181
Mrpl44,0.00000000,18053000,11198000,11742000,15746000,14735000,14522000,20270000,19790000,0.81854379,-0.28886849,0.21463520,2.22004139
Lactb,0.00297180,1815700,1994800,1787600,1878600,3976300,1347600,2295100,3761300,0.65698620,-0.60606504,0.21545157,2.21456451
Zadh2,0.00000000,9892600,10105000,8990400,11200000,11088000,11475000,12470000,9466600,0.90310924,-0.14702759,0.21671762,2.20611163
Prosc,0.00000000,15411000,15196000,11400000,13738000,12440000,11670000,14041000,11421000,1.12452594,0.16931694,0.21708702,2.20365461
Mrpl15,0.00000000,20427000,12704000,16974000,18067000,22672000,22783000,18983000,16215000,0.84525064,-0.24254889,0.21722218,2.20275667
Tha1,0.00153610,1081500,789040,527010,2171000,639900,0,918830,667090,2.05252446,1.03739942,0.21785821,2.19853860
Mthfsl;Mthfs,0.00416090,0,0,349450,727190,0,0,0,0,10.00000000,10.00000000,0.21856623,2.19385757
Timm8a1;Timm8a2,0.00423130,0,0,0,0,7273500,0,0,3485500,0.00000000,-10.00000000,0.21880901,2.19225593
Dap3,0.00000000,2923100,2993200,3429900,3423000,3638000,12245000,4526100,4736700,0.50780647,-0.97764931,0.21964967,2.18672375
Mrps11,0.00000000,1790200,0,0,1156200,1145600,2460300,1203100,1150500,0.49440389,-1.01623799,0.22418638,2.15722949
Ndufv3,0.00000000,23802000,22817000,62836000,92147000,41279000,0,22204000,31884000,2.11395976,1.07994791,0.22522669,2.15055030
Slc25a42,0.00000000,93387000,81425000,76892000,65966000,50145000,71831000,80148000,69662000,1.16882400,0.22505771,0.22721462,2.13787245
Rexo2,0.00000000,3768900,4626600,3587800,3808900,3966100,3832800,5301900,5207900,0.86255168,-0.21331719,0.22758056,2.13555075
Nudt6;Tnxb,0.00000000,2006200,1733100,1724900,1364600,1697700,2735400,1638500,2472300,0.79926029,-0.32326268,0.22836414,2.13059195
Isca2,0.00157230,7771000,6182200,5673500,8090700,5614400,0,6410600,6292000,1.51320631,0.59760870,0.22889435,2.12724623
Ucp3,0.00000000,8548400,7151500,5828800,5785800,7997800,12270000,5869600,9549100,0.76540148,-0.38571140,0.22947454,2.12359399
Ndufb7,0.00000000,144360000,126360000,116370000,112110000,179270000,383470000,143740000,138310000,0.59091609,-0.75897482,0.23410617,2.09476511
Trmu,0.00295420,297150,210550,879940,328620,340560,0,205380,239700,2.18453745,1.12732784,0.23488711,2.08996056
Rab10,0.00000000,4057400,1819100,3122300,2959700,2810700,0,2443000,2471700,1.54794574,0.63035490,0.23661224,2.07940338
Timmdc1,0.00000000,9232700,10727000,7799400,7752000,8991000,17225000,8863400,12138000,0.75207657,-0.41104855,0.23679410,2.07829495
Atp5c1,1.00000000,1177000,1254200,2449900,0,2624500,0,8930700,21546000,0.14745991,-2.76160531,0.23839394,2.06858054
Ivd,0.00000000,55307000,61854000,65347000,60180000,56596000,79730000,67048000,67728000,0.89519074,-0.15973298,0.23934062,2.06286285
Ppox,0.00166110,648270,699370,1442800,1338300,763060,907280,647790,577790,1.42570927,0.51167982,0.23977357,2.06025545
Ndufs4,0.00000000,271190000,447760000,527710000,339590000,570710000,571100000,355440000,487570000,0.79919086,-0.32338801,0.23988933,2.05955910
Mrpl17,0.00421350,4766000,9278000,11198000,13971000,7973700,6528400,6104700,7275600,1.40637104,0.49197727,0.24053135,2.05570316
Cox5b,0.00000000,293410000,410410000,495380000,478800000,411490000,147620000,363330000,363460000,1.30492262,0.38396426,0.24060735,2.05524738
Mrpl37,0.00000000,2821700,3089400,3652300,3900500,4543800,2679000,4237400,5536300,0.79215721,-0.33614132,0.24068931,2.05475604
Dnaja3,0.00000000,19463000,20284000,24533000,25595000,22960000,44489000,29157000,23032000,0.75122453,-0.41268393,0.24148472,2.04999619
Higd2a,0.00000000,3762900,2211000,5598100,4047000,4387100,0,3265900,1814100,1.64981885,0.72230762,0.24270276,2.04273760
