Gene.Symbol,qval,log2FC,minuslog_pval
Gyk;Gk,0.00000000,-0.72041902,1.91682787
,0.00000000,1.27487087,1.91145023
Dhrs7,0.00000000,0.59139806,1.90892903
Tmed10,0.00000000,0.91845125,1.90640276
Rpl30,0.00000000,0.74047806,1.90608168
Slc25a23,0.00000000,-0.37842735,1.90431779
Pigs,0.00000000,-0.95524429,1.90350138
Idi1,0.00000000,-0.64197856,1.90332349
Cyp2a5,0.00000000,0.32692062,1.90021744
1700021F05Rik,0.00000000,-0.45602742,1.89981379
Glrx5,0.00000000,0.33201305,1.89826249
Vapa,0.00000000,0.48732206,1.88374258
Mrpl24,0.00000000,0.43620085,1.88305562
Pdia3,0.00000000,0.29447291,1.88229341
Fmo4,0.00000000,0.43444202,1.87481041
Rps3a,0.00000000,1.16115082,1.87440949
Lamp2,0.00000000,0.78408694,1.87412676
Rpl28,0.00000000,0.79250293,1.87288464
Pzp;A2m,0.00000000,2.15675626,1.87100691
Pex5,0.00000000,-0.51133574,1.87099379
Fkbp1a,0.00000000,-1.08119047,1.87099376
Rps9,0.00000000,0.68835087,1.86982601
Stbd1,0.00000000,0.37549507,1.86939801
Tmem242,0.00000000,-0.96230902,1.86934175
Pnkd,0.00000000,-1.04340820,1.86793827
Cds2,0.00951850,3.52958878,1.86370703
Mup8,0.00000000,1.28359534,1.85993255
Atp5sl,0.00000000,-0.86141824,1.85319314
Higd2a,0.00000000,-0.51786426,1.85290252
Tomm70a,0.00000000,-0.45999386,1.85202154
Spcs2,0.00000000,0.53279084,1.83771127
Rtn4ip1,0.00000000,0.36800080,1.83472828
Slc27a5,0.00000000,0.16167306,1.83244952
Vcp,0.00000000,0.52729397,1.83216708
Suclg2,0.00000000,-0.19558811,1.82261801
Athl1,0.00059347,-5.12260802,1.82178451
Akap1,0.00000000,0.45497466,1.82145020
Rps15a,0.00000000,1.31746990,1.82037546
Ccdc58,0.00000000,0.52829225,1.81930392
Gstm3,0.00000000,5.00000000,1.81870942
Stom,0.00000000,-0.89026499,1.81197255
Ctsh,0.00000000,-0.76017598,1.79970571
Oxa1l,0.00000000,1.03665935,1.79394240
Znf536,0.00738220,-5.00000000,1.79104765
Alas1,0.00000000,-0.39300327,1.78818002
Gm20425,0.00000000,-0.38728736,1.78435018
Sds,0.00632550,-2.10379420,1.78330741
Abcb8,0.00000000,-0.65435790,1.78240683
Cuta,0.00634010,-2.03402549,1.77699038
Pcbd2,0.00000000,-0.96206674,1.77681854
Rpl37a,0.00000000,1.02754386,1.77611198
