Gene.Symbol,qval,log2FC,minuslog_pval
Pptc7,0.00000000,0.36578707,0.78413774
Lonp1,0.00000000,0.13158924,0.78203899
Mterf2,0.00000000,-0.58000494,0.78184553
Abhd16a,0.00000000,0.16840720,0.78156213
Gulo,0.00000000,-0.31315445,0.78050572
Mup20,0.00000000,0.25861777,0.78047630
Rpl36,0.00000000,-1.09009780,0.77982099
Mmaa,0.00000000,0.20239498,0.77876063
Mrpl30,0.00000000,0.84550052,0.77662448
Sugct,0.00000000,-0.27779248,0.77505884
Bola1,0.00000000,-0.17068077,0.77439229
Mrps7,0.00000000,-0.26900613,0.77350045
Dnajc28,0.00000000,0.29408280,0.77270545
Timm8b,0.00000000,0.15436425,0.76994016
Hsd17b7,0.00000000,0.26620964,0.76774842
Rab21,0.00000000,0.47584810,0.76604799
Dhodh,0.00000000,-0.16091833,0.76286748
Mrps31,0.00000000,0.25995016,0.76138194
Cpt2,0.00000000,-0.16508894,0.75889622
Opa3,0.00000000,0.33003475,0.75798127
Lias,0.00000000,-0.17073200,0.75571782
Mtfp1,0.00000000,0.37863007,0.75383985
Mrps16,0.00000000,-0.26223285,0.75243522
Aco2,0.00000000,0.19598189,0.75066675
Aifm1,0.00000000,-0.15041461,0.74878483
Ppox,0.00000000,-0.16369827,0.74847880
Gaa,0.00000000,-0.38179942,0.74824559
Polr2a,1.00000000,0.92961703,0.74761334
Hspa13,0.00000000,-0.27589229,0.74703658
Mrps26,0.00000000,0.29900059,0.74640960
Mtrf1,0.00000000,-0.85640656,0.74237579
Colgalt1,0.00059453,0.29222151,0.74110816
Fxn,0.00000000,-0.31780771,0.73805330
Exog,0.00000000,0.28811236,0.73533125
Ces1c;Ces1b,0.00000000,-0.39041863,0.73369830
Prdx5,0.00000000,-0.27573169,0.73241163
Rmdn2,0.00000000,-0.15666657,0.73237396
Oat,0.00000000,0.17878279,0.73150626
Abcb6,0.00000000,0.36323723,0.73125645
Coq6,0.00000000,-0.20310311,0.73072872
Pex11a,0.00000000,-0.29382787,0.72785904
Tmed2,0.00000000,0.28098511,0.72475903
Ganab,0.00000000,0.24031591,0.72471657
Prdx2,0.00000000,0.42790493,0.72146319
Uqcrb,0.00000000,-0.18263730,0.71930522
Gm10108;Cycs,0.00000000,-0.21141798,0.71822715
Ces1f,0.00000000,-0.13763633,0.71816939
Usmg5,0.00000000,-0.27486300,0.71534491
Plbd1,0.00000000,0.39385610,0.71314165
Atp13a1,0.00000000,-0.46221094,0.71073011
Myo19,0.00000000,-0.26452527,0.71045082
Atad3,0.00000000,-0.21607030,0.71022499
Plcb1,0.00406270,-0.53889989,0.70930059
Gm9493;Rps7,0.00000000,0.23658707,0.70847231
Ppt1,0.00000000,-0.33499296,0.70686768
Ddx3y;D1Pas1;Ddx3x,0.00948130,-0.37959347,0.70558098
Tm7sf2,0.00000000,0.19448932,0.70408092
Pla2g12b,0.00000000,0.17364154,0.70304009
Cox7a2,0.00000000,0.43163893,0.70046457
Cyp3a16,0.00846500,-0.84019983,0.69964029
D17Wsu104e,0.00000000,-0.41724249,0.69940552
Pafah2,0.00000000,-0.20209234,0.69787714
Scpep1,0.00000000,-0.43616599,0.69725697
Nhlrc3,0.00000000,-0.56990675,0.69578103
Opa1,0.00000000,0.16435878,0.69523900
Ctsb,0.00000000,0.37069947,0.69514578
Fam173b,0.00000000,-0.32866106,0.69387673
Nudt13,0.00000000,-0.58441179,0.69196743
Ssbp1,0.00000000,-0.35369447,0.69186063
Esd,0.00000000,-0.40822916,0.68986366
Faf2,0.00000000,0.13249769,0.68965777
Rab11b;Rab11a,0.00000000,-0.24790219,0.68768738
Slirp,0.00000000,0.26854421,0.68718596
Emc6,0.00000000,-0.79719221,0.68693167
Dld,0.00000000,-0.11531438,0.68626907
Mrpl47,0.00000000,-0.30944540,0.68584669
Timm10,0.00000000,-0.37626519,0.68576201
Pon2,0.00000000,0.36506317,0.68238027
Cdc42,0.00000000,-0.29335631,0.68221125
Ufm1,0.00000000,0.73251637,0.67911917
Hint2,0.00000000,-0.21908972,0.67899219
Cmbl,0.00000000,0.40650920,0.66854005
Cyp2c67,0.00000000,-0.18968064,0.66499927
Bpnt1,0.00000000,-0.19679521,0.66134790
Fdx1l,0.00000000,-0.25004839,0.66079170
Tefm,0.00000000,0.12217326,0.66048533
Gpx1,0.00000000,-0.15216823,0.65853142
Bet1,0.00000000,0.54250558,0.65715840
Adck1,0.00000000,0.38441224,0.65514831
Rpl14,0.00000000,0.42571169,0.65446907
Hdhd2;Ier3ip1;Gm10784,0.00000000,-0.68127044,0.65444927
Pa2g4,0.00000000,0.71112715,0.65385675
Aspdh,0.00000000,0.28925725,0.65368362
Txndc15,0.00630010,0.76503475,0.65126972
Abhd6,0.00000000,0.08994479,0.65042676
Acp6,0.00000000,-0.46594846,0.64954220
Lman1,0.00000000,0.18043878,0.64911640
Rpl3,0.00000000,-0.27163535,0.64788921
,0.00000000,1.09636013,0.64627019
Oxsm,0.00000000,-0.13139447,0.64391743
Hdhd3,0.00000000,0.20973796,0.64333309
Mgst1,0.00000000,-0.26718141,0.64098135
Tmx2,0.00000000,-0.31398796,0.64078607
Rpn2,0.00000000,0.09903514,0.63844401
Acnat1,0.00000000,0.11809913,0.63824685
Tmem223,0.00000000,0.47928375,0.63524457
Rps17,0.00000000,0.27502785,0.63457531
Phb2,0.00000000,-0.16483037,0.63446941
Uqcc2,0.00000000,-0.32188497,0.63170428
Slc30a9,0.00000000,-0.12247411,0.63148952
Htatip2,0.00000000,0.28146072,0.63105307
Mug1,0.00000000,0.44532198,0.62920689
Fars2,0.00000000,-0.09277697,0.62809105
Fastkd2,0.00000000,0.16965279,0.62579003
Pin4,0.00000000,0.28000810,0.62329255
Mtx1,0.00000000,-0.19365216,0.62131795
Mpv17,0.00000000,0.15927932,0.61990983
Rpusd3,0.00000000,0.16633148,0.61855317
Nfs1,0.00000000,-0.10685601,0.61835907
Cyp2d10,0.00000000,0.19433005,0.61789295
Adh1,0.00000000,0.31377940,0.61741304
Cyp2c54,0.00000000,0.18227799,0.61312373
Pccb,0.00000000,0.09624223,0.61279363
Hsd3b3,0.00000000,0.09933785,0.60965893
Slc25a4,0.00000000,0.50875012,0.60681396
Atp6v1g1,0.00000000,1.08073213,0.60611316
Rpl35a,0.00000000,-0.43459176,0.60585305
Cox6b1,0.00000000,-0.11902221,0.60487010
Vwa8,0.00949190,0.47246716,0.60349339
Fam162a,0.00000000,-0.28497086,0.59803040
Atp5g1;Atp5g3;Atp5g2,0.00000000,-0.49537327,0.59635699
Phb,0.00000000,-0.12894924,0.59620783
Mrpl53,0.00000000,0.32371968,0.59574070
Eef1a1;Eef1a2,0.00000000,-0.20354139,0.59555167
Acp5,0.00000000,-0.25405035,0.59401834
Pdha1,0.00000000,-0.09492918,0.59374655
Coq10a,0.00000000,0.18070612,0.59345587
Acta1;Actc1;Actg2;Acta2,1.00000000,-0.70449637,0.59330070
Abca7,0.00949720,0.27862825,0.58957743
Rab32,0.00000000,0.15968034,0.58946033
Hmgcs2,0.00000000,-0.06114197,0.58928815
Arf6,0.00000000,-0.40615693,0.58895946
Tmem65,0.00000000,0.51289083,0.58804765
Ndufb6,0.00000000,-0.09297283,0.58779842
Akr7a2,0.00000000,-0.12409488,0.58706419
Man2b2,0.00000000,-0.31287418,0.58488447
Ccs,0.00000000,0.29439685,0.58346246
Fdx1,0.00000000,0.18165870,0.58342342
Ndufaf5,0.00000000,-0.12854483,0.58274285
Vtn,0.00000000,0.36454396,0.58266781
Ehhadh,0.00000000,-0.18776305,0.58221651
Ict1,0.00000000,-0.17152765,0.58021474
Mrpl55,0.00000000,-0.18912055,0.58015358
Nudt12,0.00000000,0.25910969,0.58015023
Txndc12,0.00000000,0.34527684,0.57801187
Dstn,0.00000000,-0.65808717,0.57682687
Sod1,0.00000000,0.13207904,0.57681505
Sdhb,0.00000000,-0.18358065,0.57593392
Cmpk1,0.00000000,-0.33469894,0.57377795
Tmed9,0.00000000,0.30942713,0.57301854
Iars2,0.00000000,-0.13055797,0.57289987
Ndufv1,0.00000000,0.07778701,0.57113528
Cnpy2,0.00000000,-0.21305267,0.57083398
Qil1,0.00000000,-0.25628880,0.57069912
Gc,0.00000000,0.12791813,0.56498231
Gpld1,0.00000000,-0.46214176,0.56388343
Ambp,0.00628210,0.46982781,0.56317611
Uox,0.00000000,-0.14820680,0.56033530
Idh1,0.00000000,-0.13872697,0.55960530
Ces1,0.00000000,-0.14445386,0.55941205
Cox11,0.00000000,-0.30200630,0.55916433
Mrps15,0.00000000,-0.11816855,0.55620857
Dnajc19,0.00000000,0.31419437,0.55604181
Hk1,0.00000000,0.61942912,0.55530154
Msrb2,0.00000000,-0.30700146,0.55505120
Taco1,0.00000000,-0.13362915,0.55437036
Ugt1a6,0.00000000,-0.24858520,0.55420735
Mrpl32,0.00000000,-0.21347502,0.55312690
Ndufs5,0.00000000,-0.32840689,0.55133581
Chchd5,0.00947080,-0.96693889,0.54818506
Rdx;Msn;Ezr,0.00000000,0.56654193,0.54693103
Rpl32,0.00000000,0.32440411,0.54527719
Xpnpep3,0.00000000,-0.06539056,0.54515265
Timm10b,0.00000000,0.26204468,0.54376916
Dpp7,0.00000000,-0.37386270,0.53685284
Phyhd1,0.00000000,-0.94527602,0.53683678
Sdr39u1,0.00000000,-0.16771293,0.53483937
Tap1,0.00000000,0.93934816,0.53371438
Adck5,0.00000000,-0.09772671,0.53303351
Hist1h3b,0.00000000,-0.33570133,0.52995580
Coq3,0.00000000,0.14378688,0.52858498
Gtpbp3,0.00000000,0.26007729,0.52818188
Lamp1,0.00000000,-0.12244639,0.52747447
Mavs,0.00000000,-0.35015862,0.52494027
Mug2,1.00000000,0.57090427,0.52389412
Ndufb10,0.00000000,-0.11371116,0.52376536
Cyp2d22,0.00000000,-0.10980005,0.52365556
Grpel2,0.00177300,-0.86563765,0.52345086
Ifit2,1.00000000,-0.91961413,0.52326796
Rps4x;Rps4l;Gm15013,0.00000000,0.49139462,0.52245614
Agpat2,0.00000000,0.49294829,0.52061671
Arf4,0.00000000,-0.19327026,0.51947370
Rac1;Rac2,0.00000000,0.33245692,0.51884574
Vapb,0.00000000,-0.17369601,0.51764146
Krt76,0.00628930,-0.22757934,0.51594528
Hccs,0.00000000,-0.12699660,0.51446095
Pgs1,0.00000000,-0.64693394,0.51311435
Hrg,0.00177620,-0.29167600,0.51196326
Bco2,0.00000000,-0.55747219,0.51025121
Abcb7,0.00000000,-0.14048484,0.51006388
Ctsf,0.00000000,0.68764060,0.50854790
Lyplal1,0.00000000,0.23753598,0.50791378
Acss3,0.00000000,-0.07797804,0.50466216
Trim14,0.00634370,-0.38042166,0.50440055
Glyctk,0.00000000,0.10396522,0.50153969
Gsta3,0.00000000,-0.30221803,0.49936437
Serpina3k,0.00000000,0.12860730,0.49819896
mt-Nd5;Mtnd5,0.00000000,-0.19823865,0.49818267
Tmem143,0.00000000,0.18093912,0.49813245
G6pc,0.00000000,0.29812240,0.49801482
Comtd1,0.00000000,-0.22534736,0.49728331
Uqcrh,0.00000000,0.40494880,0.49453592
Hsd3b5,0.00000000,-0.19651716,0.49421871
Atp5f1,0.00000000,0.22329658,0.49301515
Slc9a3r1,0.00000000,-0.14008163,0.49096462
Acly,0.00000000,0.24599165,0.48995829
Sdhaf1,0.00000000,0.33103490,0.48802927
Irgm1,0.00000000,0.09393563,0.48775170
Dio1,0.00000000,0.47870541,0.48617784
Tstd3,0.00000000,-0.14030424,0.48616441
Mtfmt,0.00000000,-0.32816660,0.48160216
Gnb1,0.00000000,0.76935289,0.47972397
Olfr578,1.00000000,-0.83782727,0.47916252
Ptcd2,0.00000000,-0.17139847,0.47916189
Tmem135,0.00000000,-0.13548244,0.47865399
Rmdn3,0.00000000,0.17662723,0.47696407
Nudt1,0.00059701,0.51131842,0.47629902
Them4,0.00000000,0.19318723,0.47502726
Myl1;Myl3,0.00000000,0.44456883,0.47492041
Mtpap,0.00000000,-0.10548691,0.47443799
Rgn,0.00000000,0.18233237,0.47275651
Adck3,0.00000000,0.10399481,0.47268615
Mrps2,0.00000000,0.10531330,0.47096846
Coq10b,0.00000000,0.27345822,0.47072663
Smim20,0.00000000,-0.17260451,0.47024526
Selenbp1;Selenbp2,0.00000000,0.27990790,0.47012940
Clpx,0.00000000,-0.16209603,0.46840148
Afg3l2,0.00000000,-0.10635302,0.46767363
Vkorc1,0.00000000,0.61938408,0.46661402
Txnrd1,0.00000000,-0.09679450,0.46640884
Nadk2,0.00000000,0.06061161,0.46582171
Psap,0.00000000,-0.30424192,0.46245224
Ppa2,0.00000000,0.06094422,0.46140489
Asph,0.00000000,0.14917462,0.46094525
Hspa5,0.00000000,0.08307837,0.46029154
Hadhb,0.00000000,-0.06221236,0.45991952
Cars2,0.00000000,0.12754616,0.45874823
Ctsa,0.00000000,-0.25663752,0.45757694
Zmpste24,0.00000000,-0.18223997,0.45711603
Hebp1,0.00000000,0.14177607,0.45615496
Acads,0.00000000,-0.05417525,0.45606808
Mrps35,0.00000000,-0.09789716,0.45548412
Actr3b;Actr3,0.00000000,-0.19030172,0.45350361
Mrpl50,0.00000000,0.19601018,0.45277879
Rbp4,0.00000000,-0.38940348,0.45250056
Atp1a1,0.00000000,0.62126451,0.45018880
Hdlbp,1.00000000,-0.78481264,0.44992884
Hacl1,0.00000000,-0.09971733,0.44985488
Mtif3,0.00000000,-0.39390619,0.44945863
Lgals3bp,0.00000000,-0.23106181,0.44907552
Tspo,0.00000000,0.37979065,0.44907338
Surf4,0.00000000,-0.11805236,0.44814824
Ndufa1,0.00000000,-0.27113109,0.44712665
Selt,0.00000000,0.18507921,0.44686327
C9,0.00000000,-0.38661458,0.44587425
Parl,0.00000000,-0.26451159,0.44563592
Bdh1,0.00000000,-0.14660468,0.44270291
Cyp4a10;Cyp4a32,0.00000000,-0.19886703,0.44232117
Rab17,0.00000000,-0.44980769,0.44226863
Decr2,0.00000000,0.18971471,0.44212889
Chchd6,0.00000000,0.38796265,0.44134900
Ormdl1,1.00000000,-0.76936348,0.44132289
Cad,0.00000000,-0.23545983,0.44074482
Afg3l1,0.00000000,-0.12944656,0.44008030
Sec11a,0.00000000,0.16525379,0.43973508
Taz,0.00630370,-0.76355041,0.43807509
Pmvk,0.00000000,-0.29311569,0.43632710
Hist1h2al;Hist2h2ac;Hist2h2aa1;Hist1h2aa;Hist1h2ah;H2afj;Hist1h2ak;Hist1h2af;Hist3h2a;Hist1h2ab,0.00000000,0.46508186,0.43628643
Ndufv3,0.00000000,-0.14622010,0.43408968
Cyp2c70,0.00000000,0.15274964,0.43316789
Prcp,0.00000000,-0.56971897,0.43271406
Vps13d,0.00000000,0.35886602,0.43084610
Stt3b,0.00000000,-0.15893095,0.42702167
Tomm7,0.00176780,-0.43860832,0.42416420
Cox4i1,0.00000000,-0.10617120,0.42370208
Mrps6,0.00000000,-0.16388458,0.42300128
Timmdc1,0.00000000,-0.18953247,0.42092687
Mrpl23,0.00000000,-0.12930025,0.42069300
Mup14,0.00000000,0.59732033,0.42066187
Metap1d,0.00000000,0.07272322,0.41801863
Kmo,0.00000000,-0.12623060,0.41788744
Serpinc1,0.00000000,-0.13160780,0.41787020
Col6a1,0.00000000,0.17468925,0.41724565
Abhd11,0.00000000,0.14669523,0.41668741
Cpq,0.00000000,-0.20729398,0.41523201
Mterf4,0.00682210,0.23202374,0.41335138
Glrx2,0.00000000,0.23175954,0.41241052
Ywhag,0.00000000,0.26985483,0.41052881
Rpn1,0.00000000,0.10447052,0.41011362
Rb1cc1,0.00000000,-0.71362467,0.40997678
Sgpl1,0.00000000,-0.13672279,0.40977630
Tmem261,0.00000000,-0.14056037,0.40891592
Calr,0.00000000,0.08120377,0.40861296
Emc7,0.00000000,0.22099142,0.40840764
Tcirg1,0.00000000,-0.19153747,0.40400578
Lypla1,0.00000000,-0.19485592,0.40312396
Hsd17b2,0.00000000,0.08775469,0.40222390
,0.00000000,0.48522552,0.39754542
Acsm2,0.00000000,-0.16137159,0.39568296
Gnai3;Gnai1;Gnai2,0.00000000,-0.34656325,0.39391916
Ccdc127,0.00000000,0.23851665,0.39134071
Cyp2j5,0.00000000,0.11325027,0.39082263
Fth1,0.00059773,-0.26244995,0.38933118
Pdhb,0.00000000,-0.08609445,0.38724017
Gstp1;Gstp2,0.00000000,0.23077691,0.38516671
Tysnd1,0.00000000,0.03343080,0.38488696
Rtn3,0.00000000,0.31319791,0.38486895
Ndufv3,0.00000000,0.17556068,0.38048056
Mup2,0.00406500,0.43621248,0.37945400
Fam210a,0.00000000,-0.15060452,0.37865525
Reep6,0.00000000,0.13345329,0.37509747
Mrps21,0.00000000,-0.14949353,0.37465586
Timm23,0.00000000,-0.25225457,0.37314452
Mrps34,0.00000000,-0.18474238,0.37212961
Atp5i,0.00000000,0.14312519,0.36997802
Fis1,0.00000000,-0.12627915,0.36759319
Trub2,0.00000000,0.32644398,0.36727757
Abhd14b,0.00000000,0.10801933,0.36374464
Carkd,0.00000000,-0.08729892,0.36333992
Pex16,0.00000000,0.13765551,0.36132913
Sco1,0.00000000,-0.13092576,0.36050944
Cyp2b23,1.00000000,0.45934894,0.35953341
Echs1,0.00000000,-0.12184703,0.35946390
Cml2,0.00000000,0.07890011,0.35926350
H2-Q10,0.00000000,-0.08777857,0.35570626
Mup19;Mup9,0.00000000,0.35160132,0.35556034
Ndufv2,0.00000000,0.14672041,0.35478117
Timm22,0.00000000,0.23993279,0.35402695
Mrpl52,0.00000000,0.36624058,0.35300871
Suclg1,0.00000000,0.09358516,0.35250801
Xpnpep1,0.00000000,0.17980446,0.35249304
Mrpl42,0.00000000,0.23126440,0.35249280
,0.00000000,0.11227186,0.35172392
Mrpl21,0.00000000,0.16394872,0.35154501
Tmem256,0.00000000,-0.15160977,0.35090232
Mtch2,0.00631460,-0.44956324,0.34907889
Spryd4,0.00000000,-0.16416125,0.34886980
Uqcrfs1,0.00000000,-0.07560706,0.34622119
Prdx3,0.00000000,-0.14169284,0.34507523
Fgb,0.00000000,0.05805102,0.34384224
Polg,0.00627140,0.18573883,0.34370782
Ptpmt1,0.00000000,-0.11335302,0.34280687
Ces2e,0.00000000,-0.07965562,0.34214360
Rps16,0.00233370,0.15617977,0.33662517
Dnajb11,0.00000000,0.10301969,0.33629745
Gstz1,0.00000000,0.54570991,0.33573559
Ak2,1.00000000,-0.45297259,0.33483544
Macrod1,0.00000000,-0.10114322,0.33463931
Mrps11,0.00000000,-0.09937128,0.33313583
Try10,0.00952380,0.29690845,0.33199818
Mtch1,0.00000000,-0.17522797,0.32939478
Pbld1,0.00000000,0.08110264,0.32926537
Ces2g,0.00000000,0.07490494,0.32794654
Bche,0.00000000,-0.25743812,0.32744243
Nt5c3a,0.00000000,-0.13390184,0.32737961
Hibadh,0.00000000,-0.09091102,0.32694590
Tmem11,0.00000000,0.07396265,0.32608692
Cyp2c50,0.00000000,0.12187110,0.32305566
Mtx2,0.00000000,-0.10145673,0.32247223
Mrpl12,0.00000000,-0.09086071,0.32245710
Tmed5,0.00000000,0.28969108,0.32213449
Pdia4,0.00000000,0.03932648,0.32179890
Cisd3,0.00953980,0.16492464,0.32087673
Bola3,0.00000000,0.13710337,0.32008738
Vdac3,0.00000000,-0.17699862,0.31790843
Diablo,0.00000000,0.14077625,0.31571323
Atp5d,0.00000000,-0.12182033,0.31556102
Tor1aip2,0.00000000,0.16515716,0.31522781
Mcfd2,0.00000000,-0.19523469,0.31301000
Emc10,0.00000000,0.36726846,0.31201289
Slc27a2,0.00000000,-0.12504907,0.31008010
Apoc3,0.00000000,0.24713628,0.30916511
Srd5a1,0.00000000,0.13234778,0.30838328
Slco1b2,0.00000000,-0.24721458,0.30699386
Comt,0.00000000,-0.12079388,0.30660723
Gadd45gip1,0.00000000,0.17587255,0.30604631
Urah,0.00000000,0.15549549,0.30546082
Mrpl51,0.00000000,-0.15725023,0.30526941
Ahsg,0.00000000,0.27657485,0.30514851
Ugt2a2,1.00000000,0.33765579,0.30322869
Timm50,0.00000000,-0.10764056,0.30278135
Pet112,0.00000000,0.08468954,0.30271585
Tmx1,0.00000000,0.29933426,0.30221674
Wbscr16,0.00000000,0.18176551,0.30176806
Bckdhb,0.00000000,0.10682816,0.29943759
Elovl1,0.00000000,0.26888140,0.29873871
Arf5,1.00000000,-0.51536828,0.29562954
Fkbp3,0.00000000,0.26852603,0.29518105
Fam73b,0.00000000,0.24405073,0.29346442
Dhrs1,0.00000000,-0.10451458,0.29102948
Mrps24,0.00234740,0.22758821,0.29099887
Rap1a,1.00000000,0.28957798,0.29011035
Rpl10;Rpl10l,0.00000000,0.15747833,0.28895524
Bcl2l13,0.00000000,-0.12976978,0.28808710
Nit1,0.00000000,-0.12691644,0.28799724
Ces1e,0.00000000,-0.13739650,0.28655900
Pycr2,0.00000000,0.11393274,0.28651750
Gfer,0.00000000,-0.06352644,0.28578292
Apoa1,0.00000000,0.16510314,0.28576140
Alas2,0.00000000,-0.12465070,0.28494127
Baat,0.00000000,-0.07302068,0.28351640
Rpl34,0.00177410,0.16990059,0.28311256
Slc25a44,0.00000000,0.29491931,0.28091806
Lss,0.00000000,0.06629913,0.28066434
Rdh14,0.00000000,-0.06078810,0.27843847
Slc25a10,0.00000000,-0.07816610,0.27824572
Ddx28,0.00000000,0.11865800,0.27816467
Dtymk,0.00000000,0.13745003,0.27783483
Actg1;Actb,0.00000000,0.10393052,0.27656893
Slc25a20,0.00000000,0.16787204,0.27619619
Dnaja3,0.00000000,-0.16018069,0.27426099
Micu3,0.00234880,-0.18550191,0.27342137
Cox6a1,0.00000000,-0.12647996,0.26845609
Sar1b;Sar1a,0.00629290,-0.13737153,0.26843811
Rab5a,0.00000000,-0.11456071,0.26817062
Hibch,0.00000000,-0.03574744,0.26725112
Siae,0.00000000,-0.20255196,0.26623411
Clip1,0.00951320,-0.08736910,0.26554445
Atp5a1,0.00000000,0.03195652,0.26352144
Wars2,0.00000000,0.06359741,0.26323335
Uqcr10,0.00000000,-0.10644220,0.26272142
Acaa1b,0.00000000,0.08398244,0.26168606
Mpc1,0.00000000,0.12237443,0.26133326
Agmo,0.00000000,-0.26659136,0.25892161
Coa6,0.00000000,0.10864435,0.25676974
Rdh13,0.00000000,0.05441579,0.25646584
Exd2,0.00000000,-0.15095196,0.25391243
Coq7,0.00000000,0.08638595,0.25390319
Gm20390;Nme2,0.00000000,0.08510318,0.25340182
Pex26,0.00000000,-0.12101959,0.25267940
Rab8b,0.00000000,-0.17093434,0.25145554
Serping1,0.00000000,-0.13991921,0.24708619
Nmnat3,0.00000000,-0.16234160,0.24663019
Mrpl37,0.00000000,-0.05171107,0.24595901
Pex1,0.00000000,-0.12694098,0.24529150
Hsd17b10,0.00000000,0.06418736,0.24275431
Micu1,0.00000000,0.14030059,0.24239033
mt-Nd2;Mtnd2,0.00000000,0.18016579,0.24231889
Atl3,0.00000000,0.03495282,0.24080931
Atp5j,0.00000000,0.12534818,0.24036160
Rps10,0.00000000,0.24552868,0.23828443
Atp5c1,0.00000000,-0.09103006,0.23827187
C1qbp,0.00000000,0.13817060,0.23741743
Pyurf,0.00233780,-0.41517983,0.23694675
Gpd1,0.00000000,0.05576917,0.23662042
Lap3,0.00000000,-0.02959997,0.23618935
C3,0.00000000,0.17657415,0.23603619
Fam173a,0.00000000,-0.05209945,0.23601980
Rpl23,0.00000000,0.13254339,0.23580991
1110008L16Rik;Kiaa0391,0.00000000,0.07834682,0.23495876
Dlst,0.00000000,-0.03565467,0.23481371
Trabd,0.00000000,-0.05814097,0.23460470
Acad8,0.00000000,0.09563341,0.23407116
Rpl10a,0.00000000,0.06782426,0.23380840
Mettl17,0.00000000,-0.15686118,0.23298539
Ugt1a9;Ugt1a10,0.00000000,0.15623158,0.23054515
Hemk1,0.00000000,-0.40361680,0.23016773
Bri3bp,0.00000000,-0.09355166,0.22957422
Tor1b,0.00948660,0.31867066,0.22861177
Acaa2,0.00000000,0.02700345,0.22833458
Rtn4,0.00000000,0.12186132,0.22810621
Vma21,0.00000000,0.30606216,0.22649726
Slc25a11,0.00000000,0.08109638,0.22584818
Dpp4,0.00000000,-0.11621310,0.22566013
Apoa2,0.00000000,-0.22650710,0.22433456
Ca5b,0.00000000,-0.05258664,0.22367981
Sirt3,0.00000000,0.12921240,0.22357010
Stx8,0.00000000,-0.23433650,0.22154998
Slc35d1,0.00000000,-0.14331745,0.22067264
Cml1,0.00000000,-0.10918816,0.21627676
Eci2,0.00000000,-0.30458085,0.21601195
Lyrm9,0.00000000,0.25623265,0.21585199
Nags,0.00000000,0.04715052,0.21548898
Sfxn1,0.00000000,-0.04877788,0.21437834
Lrrc59,0.00000000,0.06669406,0.21386433
Coa5,0.00000000,0.23543747,0.21181050
Lipt1,0.00000000,-0.10548483,0.21115087
Rhoa;Rhoc,0.00000000,-0.10618700,0.21092729
Coq4,0.00000000,-0.15597316,0.21060739
Pnpo,0.00000000,0.05861983,0.20936655
Tmed7,0.00000000,0.16897084,0.20775862
Nme1,0.00000000,0.19733330,0.20692957
Rab35,0.00000000,0.11751890,0.20611675
Oxnad1,0.00000000,0.09158945,0.20497235
Lyrm4,0.00000000,0.08932575,0.20384089
Hsdl1,0.00000000,-0.05825593,0.20271418
Fundc2,0.00000000,-0.12496791,0.20133613
Gpd2,0.00000000,-0.08231105,0.19913490
Por,0.00000000,-0.05590738,0.19838266
Trmu,0.00000000,0.09180186,0.19721143
Ndufa5,0.00000000,0.05441605,0.19707900
Cml1,1.00000000,0.15363505,0.19677894
Ept1,0.00000000,0.13658917,0.19072768
Got2,0.00000000,0.01435379,0.19036068
Tmem14a,0.00000000,-0.20134766,0.18954514
Dbt,0.00000000,0.02460599,0.18788100
Cpt1b,1.00000000,-0.16190924,0.18571516
Micu2,0.00000000,0.12896016,0.18483129
Ywhaz,0.00000000,-0.20850086,0.18424150
Mrpl54,0.00000000,-0.08306936,0.18342482
Sars2,0.00000000,-0.03195114,0.18299557
Slc25a5,0.00000000,-0.04682090,0.18177981
Manba,0.00000000,0.15433064,0.18164217
Sirt5,0.00000000,0.09561561,0.18112884
Cyp27a1,0.00000000,0.03768328,0.18048458
Cox20,0.00000000,0.10903953,0.18030488
Abhd10,0.00846020,0.19095394,0.17826391
Fdxr,0.00000000,-0.02648787,0.17484998
Ndufa11,0.00000000,0.11922988,0.17449699
Rpl35;Gm10269,0.00000000,0.07696634,0.17427934
Rpl17,0.00000000,-0.07624778,0.17399636
Ube2v1;Gm20431,0.00000000,-0.14926581,0.17358474
Timm9,0.00000000,-0.07305592,0.17226229
Gstm1,0.00000000,-0.07124261,0.17116769
Creg1,0.00000000,0.09252239,0.17074583
Mrps36,0.00000000,-0.08107662,0.17059838
Rpl21,0.00000000,0.07856602,0.16928729
Mrpl57,0.00000000,0.07253136,0.16924918
Rplp0;Gm8730,0.00000000,0.06164732,0.16905130
Serpina1d,0.00000000,0.05322778,0.16766307
Slc37a4,0.00000000,-0.08241467,0.16617192
Mrpl16,0.00000000,-0.13732823,0.16448659
Fndc3b,0.00000000,0.10533407,0.16394177
Tst,0.00000000,-0.02523264,0.16361077
Echdc2,0.00000000,0.04318769,0.16322931
Pet100,0.00000000,0.05677976,0.16272546
Scp2,0.00000000,0.04576262,0.16271221
Gm10260;Rps18,0.00000000,-0.10515439,0.16165023
Idh2,0.00000000,-0.05336352,0.16148765
Hist1h4a,0.00000000,0.09302641,0.16104645
Mrpl19,0.00000000,-0.07700044,0.15977917
Hsdl2,0.00000000,0.03391588,0.15899795
Atp2a2,0.00000000,0.04787335,0.15769358
Rer1,0.00000000,0.06426689,0.15680839
Apoa1bp,0.00000000,-0.06447505,0.15652319
Bcs1l,0.00000000,-0.04208017,0.15604273
Krtcap2,0.00000000,-0.16520483,0.15585923
